Sno,Donor City,Donor State,Donor Zip,Donor Budget,Shelter 1
26104,Cookeville,Tennessee,385,50,0
26105,Malden,Massachusetts,21,10,0
26106,Westwood,New Jersey,76,5,0
26107,Newburgh,New York,125,10,0
26108,Decatur,Georgia,300,15,0
26109,Tualatin,Oregon,970,10,0
26110,Tomball,Texas,773,200,0
26111,Astoria,New York,111,25,0
26112,Idyllwild,California,925,25,0
26113,Hopewell,Ohio,437,5,0
26114,Schaumburg,Illinois,601,25,0
26115,Marion,South Carolina,295,5,0
26116,Owens Cross Roads,Alabama,357,25,0
26117,,North Carolina,,20,0
26118,Bedford,Indiana,474,50,0
26119,South Hadley,Massachusetts,10,20,0
26120,Clinton Township,Michigan,480,20,0
26121,,other,,23.7,0
26122,Brookline,Massachusetts,24,25,0
26123,Madras,Oregon,977,5,0
26124,Washington,District of Columbia,200,100,0
26125,Avon,Connecticut,60,50,0
26126,Brooklyn,New York,112,10,0
26127,Milwaukee,Wisconsin,532,10,0
26128,Torrance,California,905,100,0
26129,Fort Myers,Florida,339,20,0
26130,Deerfield Beach,Florida,334,50,0
26131,San Pedro,California,907,50,0
26132,Smyrna,Georgia,300,25,0
26133,Lakeland,Florida,338,5,0
26134,,Arizona,852,25,0
26135,Orlando,Florida,328,124.26,0
26136,Visalia,California,932,10,0
26137,New River,Arizona,852,10,0
26138,Elk Grove,California,957,50,0
26139,Oakland,California,946,75,0
26140,Las Vegas,Nevada,891,100,0
26141,San Jose,California,951,50,0
26142,San Jose,California,951,10,0
26143,Michigantown,Indiana,460,5,0
26144,Braintree,Massachusetts,21,1,0
26145,Trinity,Texas,758,10,0
26146,Cedar Hill,Texas,751,10,0
26147,Prairieville,Louisiana,707,25,0
26148,La Grange Park,Illinois,605,5,0
26149,Los Angeles,California,900,10,0
26150,Cincinnati,Ohio,452,104.24,0
26151,Houston,Kentucky,770,100,0
26152,Billerica,Massachusetts,18,85.16,0
26153,Spring,Texas,773,100,0
26154,Granada Hills,California,913,26,0
26155,Brooklyn,New York,112,50,0
26156,Saint Clair Shores,Michigan,480,10,0
26157,Katy,Texas,774,42.89,0
26158,Minneapolis,Minnesota,554,25,0
26159,North Palm Beach,Florida,334,1,0
26160,Alpharetta,Georgia,300,50,0
26161,Sayville,New York,117,10,0
26162,Pleasantville,New York,105,50,0
26163,Cripple Creek,Colorado,808,10,0
26164,Astoria,New York,111,10,0
26165,Oceanside,California,920,10,0
26166,Babylon,New York,117,2,0
26167,Dallas,Texas,752,20,0
26168,Arlington,Virginia,222,15.87,0
26169,Frisco,Texas,750,1,0
26170,Wheatland,Indiana,475,293,0
26171,De Queen,Arkansas,718,5,0
26172,Lansdale,Pennsylvania,194,5,0
26173,Palos Hills,Illinois,604,1,0
26174,,Montana,,10,0
26175,Fredericksburg,Virginia,224,15,0
26176,New York,New York,100,1,0
26177,Corona,California,928,10,0
26178,Rego Park,New York,113,1.44,0
26179,,Nevada,894,1,0
26180,Agoura Hills,California,913,10,0
26181,Glendale,California,912,1.5,0
26182,,other,,1,0
26183,Mount Pleasant,South Carolina,294,25,0
26184,Chandler,Arizona,852,5,0
26185,Knoxville,Tennessee,379,1,0
26186,Dallas,Texas,752,1,0
26187,Chattanooga,Tennessee,374,1,0
26188,,Florida,,1,0
26189,Astoria,New York,111,1,0
26190,Papillion,Nebraska,680,1,0
26191,Pittsburg,California,945,2,0
26192,,other,,42.78,0
26193,San Leandro,California,945,25,0
26194,Chicago,Illinois,606,50,0
26195,,California,,50,0
26196,Palm Springs,California,922,25,0
26197,Centreville,Virginia,201,50,0
26198,Chatham,Massachusetts,26,65.76,0
26199,North East,Maryland,219,25,0
26200,McKinney,Texas,750,50,0
26201,Los Angeles,California,900,25,0
26202,Austin,Texas,787,40.01,0
26203,Trevor,Wisconsin,531,50,0
26204,Keithville,Louisiana,710,25,0
26205,Splendora,Texas,773,50,0
26206,Shelbyville,Indiana,461,50,0
26207,Cleveland,Ohio,441,25,0
26208,Brenham,Texas,778,25,0
26209,Philadelphia,Pennsylvania,191,10,0
26210,,Pennsylvania,,20,0
26211,Melbourne,Florida,329,944.33,0
26212,,New Jersey,,25,0
26213,Shawnee Mission,Kansas,662,20,0
26214,Pittsburgh,Pennsylvania,152,136.55,0
26215,Birmingham,Alabama,352,25,0
26216,Oakley,California,945,50,0
26217,Los Angeles,California,900,15,0
26218,Spring,other,773,10,0
26219,Etters,Pennsylvania,173,99,0
26220,Reading,Massachusetts,18,125,0
26221,Whiting,Indiana,463,170,0
26222,Saint Martinville,Louisiana,705,20,0
26223,Salt Lake City,Utah,841,25,0
26224,East Bridgewater,Massachusetts,23,15,0
26225,Philadelphia,Pennsylvania,191,50,0
26226,Canton,Michigan,481,20,0
26227,Excelsior,Minnesota,553,50,0
26228,Brick,New Jersey,87,150,0
26229,Whitmore Lake,Michigan,481,50,0
26230,Hazelwood,Missouri,630,50,0
26231,Tempe,Arizona,852,22.72,0
26232,Sunnyvale,California,940,50,0
26233,,other,,5,0
26234,Carrollton,Texas,750,1,0
26235,South Bend,Indiana,466,5,0
26236,Murfreesboro,Tennessee,371,5,0
26237,Winchester,Virginia,226,8.54,0
26238,Mcalester,Oklahoma,745,20,0
26239,Pompano Beach,Florida,330,5,0
26240,Saint Marys,Georgia,315,10,0
26241,Staten Island,New York,103,10,0
26242,Osseo,Minnesota,553,125,0
26243,Westfield,New Jersey,70,10,0
26244,Port Orchard,Washington,983,32.47,0
26245,Flint,Michigan,485,20,0
26246,,other,,25,0
26247,Chicago,Illinois,606,100,0
26248,Denham Springs,Louisiana,707,50,0
26249,Omaha,Nebraska,681,93.2,0
26250,Ronkonkoma,New York,117,25,0
26251,Clayton,Ohio,453,50,0
26252,,other,,135,0
26253,Skaneateles,New York,131,50,0
26254,Lewisburg,Florida,370,50,0
26255,Fruita,Colorado,815,50,0
26256,,Nebraska,,25,0
26257,Berkley,Michigan,480,25,0
26258,Los Angeles,California,900,20,0
26259,King City,California,939,25,0
26260,Alabaster,Alabama,350,20,0
26261,Hamden,Connecticut,65,10,0
26262,Petal,Mississippi,394,39.78,0
26263,Talladega,Alabama,351,99,0
26264,Fullerton,California,928,1,0
26265,Mill Valley,California,949,50,0
26266,Delray Beach,Florida,334,10,0
26267,Gonzales,Louisiana,707,50,0
26268,Atlanta,Georgia,303,150,0
26269,Springfield,Illinois,627,181,0
26270,San Antonio,Texas,782,40,0
26271,Port Orange,Florida,321,168.32,0
26272,Oviedo,Florida,327,25,0
26273,Port Charlotte,Florida,339,50,0
26274,New York,New York,100,50,0
26275,San Dimas,California,917,200,0
26276,Warsaw,Missouri,653,130.78,0
26277,,other,,50,0
26278,Brighton,Massachusetts,21,10,0
26279,Cambridge,Massachusetts,21,50,0
26280,Ocean Shores,Washington,985,250,0
26281,Navasota,Texas,778,20,0
26282,Encino,California,913,50,0
26283,Belmont,Massachusetts,24,50,0
26284,Fort Morgan,Colorado,807,25,0
26285,Cumming,Georgia,300,10,0
26286,Ashland,Massachusetts,17,19.5,0
26287,Jonesboro,Georgia,302,100,0
26288,Harrison,Michigan,486,5,0
26289,,other,,50,0
26290,Ann Arbor,Michigan,481,342.48,0
26291,,other,,25,0
26292,Shreveport,Louisiana,711,10,0
26293,Stratford,Connecticut,66,100,0
26294,,other,,20,0
26295,Chicago,Illinois,606,20,0
26296,Leland,Michigan,496,10,0
26297,,other,,200,0
26298,Blacklick,Ohio,430,10,0
26299,Three Rivers,California,932,5,0
26300,,California,,35,0
26301,,other,,5,0
26302,Little Rock,Arkansas,722,5,0
26303,Yuba City,California,959,25,0
26304,Fort Lauderdale,Florida,333,20,1
26305,,other,,20,1
26306,,Louisiana,,10,1
26307,San Francisco,California,941,20,1
26308,Maineville,Ohio,450,100,1
26309,Ypsilanti,Michigan,481,15,1
26310,,Delaware,,113.26,1
26311,Whittier,California,906,75,1
26312,Indiana,Pennsylvania,157,129.26,1
26313,Santa Maria,California,934,25,1
26314,Bothell,Washington,980,1,1
26315,Cardiff By The Sea,California,920,1,1
26316,Taylor,Michigan,481,1,1
26317,Germantown,Maryland,208,5,1
26318,Oakland,California,946,70,1
26319,,other,,1,1
26320,Chesapeake,Virginia,233,5,1
26321,Lacona,Iowa,501,1,1
26322,Charlotte,North Carolina,282,1,1
26323,Mundelein,Illinois,600,37.11,1
26324,Altoona,Iowa,500,15,1
26325,La Crescenta,California,912,1,1
26326,Chicago,Illinois,606,20,1
26327,Jersey City,New Jersey,73,50,1
26328,,other,,60,1
26329,Livermore,California,945,20,1
26330,Glen Mills,Pennsylvania,193,50,1
26331,Columbus,Ohio,432,100,1
26332,Orlando,Florida,328,25,1
26333,Katy,Texas,774,154.01,1
26334,Hendersonville,Tennessee,370,50,1
26335,Dallas,Texas,752,479.93,1
26336,Lumberton,Texas,776,10,1
26337,Bensalem,Pennsylvania,190,93,1
26338,Woodside,New York,113,314.61,1
26339,Copperas Cove,Texas,765,50,1
26340,Fanwood,New Jersey,70,100,1
26341,Atlanta,Georgia,303,50,1
26342,Anaheim,California,928,25,1
26343,Mesa,Arizona,852,658.18,1
26344,Gibsonville,North Carolina,272,25,1
26345,Miami,other,331,25,1
26346,Pasadena,Texas,775,50,1
26347,New York,New York,100,50,1
26348,Austin,Texas,787,30.48,1
26349,Bloomfield,New Jersey,70,50,1
26350,Fort Worth,Texas,761,25,1
26351,Springfield,New Jersey,70,10,1
26352,Danbury,Connecticut,68,25,1
26353,Cranford,New Jersey,70,25,1
26354,Lamar,Missouri,647,25,1
26355,Nashua,New Hampshire,30,25,1
26356,Hopewell,Virginia,238,50,1
26357,Blackwood,New Jersey,80,25,1
26358,Durham,North Carolina,277,169.14,1
26359,Murfreesboro,Tennessee,371,5,1
26360,Lawson,Missouri,640,1,1
26361,Mcpherson,Kansas,674,1,1
26362,Chalfont,Pennsylvania,189,1,1
26363,Rocky Mount,North Carolina,278,1,1
26364,San Francisco,California,941,1,1
26365,Las Vegas,Nevada,891,1,1
26366,Birmingham,Alabama,352,1,1
26367,,Washington,,25,1
26368,Mattapan,Massachusetts,21,50,1
26369,San Marcos,California,920,10,1
26370,,other,,99,1
26371,Litchfield,Minnesota,553,5,1
26372,Santa Barbara,California,931,174.06,1
26373,,Hawaii,,25,1
26374,,California,,75,1
26375,Staten Island,New York,103,1,1
26376,Santa Monica,California,904,1,1
26377,Waterford,Michigan,483,2,1
26378,Springfield,Ohio,455,25,1
26379,Houston,Texas,770,25,1
26380,Chandler,Arizona,852,10,1
26381,Wylie,Texas,750,5,1
26382,Tampa,Florida,336,50,1
26383,Raleigh,North Carolina,276,1,1
26384,Waxhaw,North Carolina,281,25,1
26385,Ore City,Texas,756,50,1
26386,Wichita,Kansas,672,2,1
26387,Port Washington,Wisconsin,530,2,1
26388,Brookline,Massachusetts,24,1,1
26389,Chicago,Illinois,606,1,1
26390,,Florida,,1,1
26391,Los Angeles,California,900,25,1
26392,Poway,California,920,100,1
26393,,other,,25,1
26394,West Haven,Connecticut,65,10,1
26395,,Kansas,,25,1
26396,Greenfield,Massachusetts,13,25,1
26397,Mililani,Hawaii,967,25,1
26398,Apollo Beach,Florida,335,100.58,1
26399,Madison,Alabama,357,50,1
26400,Charlotte,North Carolina,282,50,1
26401,Reisterstown,Maryland,211,25,1
26402,Janesville,Wisconsin,535,25,1
26403,Jacksonville,Florida,322,25,1
26404,Abbeville,Alabama,363,10,1
26405,,Mississippi,,36,1
26406,Hiram,Georgia,301,25,1
26407,Seattle,Washington,981,25,1
26408,,other,,25,1
26409,Hurst,Texas,760,50,1
26410,Hollywood,Florida,330,100,1
26411,Tehachapi,California,935,100,1
26412,West Concord,Minnesota,559,25,1
26413,Buffalo,Minnesota,553,207.09,1
26414,Mount Juliet,Tennessee,371,50,1
26415,,Virginia,,40,1
26416,Wayne,New Jersey,74,20,1
26417,Norwalk,California,906,25,1
26418,Fremont,California,945,25,1
26419,Alcoa,other,377,10,1
26420,Houston,Texas,770,17.48,1
26421,Vero Beach,Florida,329,25,1
26422,Cary,North Carolina,275,50,1
26423,Fayetteville,North Carolina,283,25,1
26424,,other,,100,1
26425,South Grafton,Massachusetts,15,200,1
26426,Philadelphia,Pennsylvania,191,200,1
26427,Alpharetta,Georgia,300,100,1
26428,Lexington,South Carolina,290,100,1
26429,Los Angeles,California,900,100,1
26430,Raleigh,North Carolina,276,100,1
26431,Brooklyn,New York,112,218.24,1
26432,Jensen Beach,North Carolina,349,100,1
26433,Kansas,Illinois,619,25,1
26434,East Brunswick,New Jersey,88,100,1
26435,Bryan,Texas,778,25,1
26436,Wheeling,West Virginia,260,10,1
26437,Ann Arbor,Michigan,481,5,1
26438,Grovetown,Georgia,308,50,1
26439,Orlando,Florida,328,10,1
26440,,other,,25,1
26441,Livonia,Michigan,481,46.29,1
26442,Warminster,Pennsylvania,189,25,1
26443,,other,,10,1
26444,,other,977,20,1
26445,Tucker,Georgia,300,10,1
26446,Blue Springs,Missouri,640,30,1
26447,Denver,Colorado,802,2,1
26448,Braselton,Georgia,305,75.93,1
26449,Indianapolis,Indiana,462,100,1
26450,Dayville,Connecticut,62,18,1
26451,Virginia Beach,Virginia,234,29.06,1
26452,,other,,25,1
26453,Scarborough,Maine,40,20,1
26454,Rockwall,Texas,750,10,1
26455,Moore,South Carolina,293,50,1
26456,,Georgia,,25,1
26457,Orlando,Florida,328,20,1
26458,Cedar Hill,Texas,751,98,1
26459,Portland,Maine,41,10,1
26460,Watkinsville,Georgia,306,25,1
26461,Fairdale,Kentucky,401,5,1
26462,Lafayette,California,945,25,1
26463,,other,,50,1
26464,Santa Clara,California,950,10,1
26465,Albuquerque,New Mexico,871,50,1
26466,Round Lake,Illinois,600,50,1
26467,Romeoville,Illinois,604,50,1
26468,Victoria,Kansas,676,30,1
26469,,California,,436,1
26470,Houston,Texas,770,50,1
26471,Chicago,Illinois,606,110,1
26472,Egg Harbor Township,New Jersey,82,20,1
26473,Seal Beach,California,907,132.24,1
26474,,other,,50,1
26475,Sterling Heights,Michigan,483,50,1
26476,Jackson,Mississippi,392,25,1
26477,Brighton,Massachusetts,21,25,1
26478,Lexington,Kentucky,405,25,1
26479,,other,,10,1
26480,Charlo,Montana,598,50,1
26481,Palatine,Illinois,600,162.45,1
26482,Morton,Illinois,615,25,1
26483,Saratoga,California,950,20,1
26484,Elmwood Park,Illinois,607,75,1
26485,Hoboken,New Jersey,70,5,1
26486,Pearland,Texas,775,105,1
26487,Raleigh,North Carolina,276,100,1
26488,Minneapolis,Minnesota,554,10,1
26489,Chesapeake,Virginia,233,20,1
26490,Mesa,Arizona,852,50,1
26491,,Arizona,853,50,1
26492,Freeport,Pennsylvania,162,50,1
26493,Middletown,Rhode Island,28,50,1
26494,,California,,20,1
26495,Tulsa,Oklahoma,741,322.61,1
26496,El Paso,Texas,799,25,1
26497,Parrish,Florida,342,25,1
26498,Denver,Colorado,802,35,1
26499,Apopka,Florida,327,25,1
26500,Davis,California,956,20,1
26501,Newberry,South Carolina,291,10,1
26502,,Georgia,,12.34,1
26503,Norwich,Connecticut,63,12.5,1
26504,Glendale,California,912,12.34,1
26505,Jacksonville,Florida,322,10,1
26506,,Virginia,,50,1
26507,Jacksonville,North Carolina,285,39.68,1
26508,Cincinnati,Ohio,452,25,1
26509,Santee,California,920,100,1
26510,,other,,118,1
26511,Franklin,Wisconsin,531,10,1
26512,Social Circle,Georgia,300,50,1
26513,Memphis,Tennessee,381,50,1
26514,Fort Bragg,North Carolina,283,50,1
26515,Boise,Idaho,837,141.83,1
26516,Chicago,Illinois,606,50,1
26517,Winchester,Massachusetts,18,10,1
26518,Saint Louis,Missouri,631,50,1
26519,Akron,Ohio,443,32.47,1
26520,Cincinnati,Ohio,452,10,1
26521,Portland,Oregon,972,10,1
26522,Toms River,New Jersey,87,50,1
26523,Spokane,Washington,992,13,1
26524,,Florida,,10,1
26525,Yorktown,Virginia,236,15,1
26526,West Des Moines,Iowa,502,356.72,1
26527,Downers Grove,Illinois,605,25,1
26528,Las Vegas,Nevada,891,25,1
26529,Jacksonville,Florida,322,25,1
26530,Halstead,Kansas,670,25,1
26531,Livermore,California,945,25,1
26532,San Francisco,California,941,250,1
26533,Pleasant Prairie,Wisconsin,531,50,1
26534,Wilson,North Carolina,278,15,1
26535,Levelland,Texas,793,135,1
26536,Elk Grove Village,Hawaii,600,100,1
26537,Olalla,Washington,983,20,1
26538,Columbus,Ohio,430,10,1
26539,Harrison,Ohio,450,100,1
26540,Moses Lake,Washington,988,346.91,1
26541,Hopkins,South Carolina,290,50,1
26542,Keene,New Hampshire,34,50,1
26543,Corning,California,960,25,1
26544,Riverton,Utah,840,25,1
26545,Saint Paul,Minnesota,551,100,1
26546,Sarasota,Florida,342,243.58,1
26547,Holyoke,Massachusetts,10,50,1
26548,Cambridge,Wisconsin,535,113.59,1
26549,Fort Montgomery,New York,109,43,1
26550,Temple,Texas,765,20,1
26551,Dinuba,California,936,50,1
26552,New York,New York,100,59.87,1
26553,,California,,25,1
26554,Ponca City,Oklahoma,746,60,1
26555,Canton,Ohio,447,100,1
26556,,California,,25,1
26557,Yorktown Heights,New York,105,50,1
26558,New York,New York,101,18.07,1
26559,Loxahatchee,Florida,334,25,1
26560,Clearwater,Florida,337,15,1
26561,Burlingame,California,940,25,1
26562,Athens,Alabama,356,250,1
26563,Fremont,California,945,27.25,1
26564,Eastchester,New York,107,40,1
26565,Los Angeles,California,900,10,1
26566,,Florida,,40,1
26567,Austin,Texas,787,6,1
26568,Dallas,Texas,752,25,1
26569,,other,,30,1
26570,Gig Harbor,Washington,983,50,1
26571,Indianapolis,Indiana,462,25,1
26572,Noblesville,Indiana,460,123.06,1
26573,Covington,Louisiana,704,50,1
26574,Columbus,Georgia,319,50,1
26575,Fort Worth,Texas,761,50,1
26576,Buchanan,Virginia,240,15,1
26577,Brooklyn,New York,112,50,1
26578,Lindstrom,Minnesota,550,50,1
26579,Shippensburg,Pennsylvania,172,50,1
26580,Baltimore,Maryland,212,100,1
26581,Gonzales,Louisiana,707,50,1
26582,Erath,Louisiana,705,15,1
26583,Suffolk,Virginia,234,50,1
26584,Fairfield,Ohio,450,50,1
26585,Dallas,Texas,752,50,1
26586,Bellwood,Pennsylvania,166,50,1
26587,Austin,Texas,787,15,1
26588,Los Angeles,California,900,15,1
26589,Rockville,Maryland,208,10,1
26590,Covington,Georgia,300,50,1
26591,Armonk,New York,105,50,1
26592,Lawrenceburg,Indiana,470,100,1
26593,Fiskeville,Rhode Island,28,187.31,1
26594,Miami,Florida,331,25,1
